"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access"
"Scalable Drift Monitoring in Medical Imaging AI","https://arxiv.org/abs/2410.13174v2","2024","Preprint","","Jameson Merkow
Felix J. Dorfner
Xiyu Yang
Alexander Ersoy
Giridhar Dasegowda
Mannudeep Kalra
Matthew P. Lungren
Christopher P. Bridge
Ivan Tarapov","","https://arxiv.org/pdf/2410.13174v2","Yes"
"Interpretable Model Drift Detection","https://arxiv.org/abs/2503.06606v1","2025","Preprint","","Pranoy Panda
Kancheti Sai Srinivas
Vineeth N Balasubramanian
Gaurav Sinha","10.1145/3632410.3632434","https://arxiv.org/pdf/2503.06606v1","Yes"
"Autoregressive based Drift Detection Method","https://arxiv.org/abs/2203.04769v2","2022","Preprint","","Mansour Zoubeirou A Mayaki
Michel Riveill","10.1109/IJCNN55064.2022.9892066","https://arxiv.org/pdf/2203.04769v2","Yes"
"Dense Hybrid Recurrent Multi-view Stereo Net with Dynamic Consistency Checking","https://arxiv.org/abs/2007.10872v1","2020","Preprint","","Jianfeng Yan
Zizhuang Wei
Hongwei Yi
Mingyu Ding
Runze Zhang
Yisong Chen
Guoping Wang
Yu-Wing Tai","","https://arxiv.org/pdf/2007.10872v1","Yes"
"Consistency Checking of Functional Requirements","https://arxiv.org/abs/1804.10486v1","2018","Preprint","","Simone Vuotto","","https://arxiv.org/pdf/1804.10486v1","Yes"
"Demo: LE3D: A Privacy-preserving Lightweight Data Drift Detection Framework","https://arxiv.org/abs/2211.01827v2","2022","Preprint","","Ioannis Mavromatis
Aftab Khan","","https://arxiv.org/pdf/2211.01827v2","Yes"
"STUDD: A Student-Teacher Method for Unsupervised Concept Drift Detection","https://arxiv.org/abs/2103.00903v1","2021","Preprint","","Vitor Cerqueira
Heitor Murilo Gomes
Albert Bifet
Luis Torgo","","https://arxiv.org/pdf/2103.00903v1","Yes"
"TraceWalk: Semantic-based Process Graph Embedding for Consistency Checking","https://arxiv.org/abs/1905.06883v1","2019","Preprint","","Chen Qian
Lijie Wen
Akhil Kumar","","https://arxiv.org/pdf/1905.06883v1","Yes"
"Flexible and Efficient Drift Detection without Labels","https://arxiv.org/abs/2506.08734v2","2025","Preprint","","Nelvin Tan
Yu-Ching Shih
Dong Yang
Amol Salunkhe","","https://arxiv.org/pdf/2506.08734v2","Yes"
"Message Passing for Analysis and Resilient Design of Self-Healing Interdependent Cyber-Physical Networks","https://arxiv.org/abs/1606.00955v2","2016","Preprint","","Ali Behfarnia
Ali Eslami","","https://arxiv.org/pdf/1606.00955v2","Yes"
"A Self Healing Model Based on Polymer-Mediated Chromophore Correlations","https://arxiv.org/abs/1205.0481v2","2012","Preprint","","Shiva Kumar Ramini
Mark G. Kuzyk","10.1063/1.4739295","https://arxiv.org/pdf/1205.0481v2","Yes"
"Self-healing of structured light: a review","https://arxiv.org/abs/2207.04767v1","2022","Preprint","","Yijie Shen
Shankar Pidishety
Isaac Nape
Angela Dudley","10.1088/2040-8986/ac8888","https://arxiv.org/pdf/2207.04767v1","Yes"
"OAM-Assisted Self-Healing Is Directional, Proportional and Persistent","https://arxiv.org/abs/2504.02103v1","2025","Preprint","","Marek Klemes
Lan Hu
Greg Bowles
Alireza Ghayekhloo
Mohammad Akbari
Soulideth Thirakoune
Michael Schwartzman
Kevin Zhang
Tan Huy Ho
David Wessel
Wen Tong","","https://arxiv.org/pdf/2504.02103v1","Yes"
"Self-Healing Behavior of Ice","https://arxiv.org/abs/2111.08367v1","2021","Preprint","","Menno Demmenie
Paul Kolpakov
Yuki Nagata
Sander Woutersen
Daniel Bonn","","https://arxiv.org/pdf/2111.08367v1","Yes"
"A Survey on Self-healing Software System","https://arxiv.org/abs/2403.00455v1","2024","Preprint","","Zahra Yazdanparast","","https://arxiv.org/pdf/2403.00455v1","Yes"
"Compact Routing Messages in Self-Healing Trees","https://arxiv.org/abs/1508.04234v1","2015","Preprint","","Armando Castaneda
Danny Dolev
Amitabh Trehan","","https://arxiv.org/pdf/1508.04234v1","Yes"
"Modeling Adaptive Self-healing Systems","https://arxiv.org/abs/2304.12773v1","2023","Preprint","","Habtom Kahsay Gidey
Diego Marmsoler
Dominik Ascher","","https://arxiv.org/pdf/2304.12773v1","Yes"
"Self-Healing Robust Neural Networks via Closed-Loop Control","https://arxiv.org/abs/2206.12963v1","2022","Preprint","","Zhuotong Chen
Qianxiao Li
Zheng Zhang","","https://arxiv.org/pdf/2206.12963v1","Yes"
"Self-healing mechanism of lithium in lithium metal batteries","https://arxiv.org/abs/2106.10979v2","2021","Preprint","","Junyu Jiao
Genming Lai
Liang Zhao
Jiaze Lu
Qidong Li
Xianqi Xu
Yao Jiang
Yan-Bing He
Chuying Ouyang
Feng Pan
Hong Li
Jiaxin Zheng","","https://arxiv.org/pdf/2106.10979v2","Yes"
"Screening of Fungi for the Application of Self-Healing Concrete","https://arxiv.org/abs/1711.10386v6","2017","Preprint","","Rakenth R. Menon
Jing Luo
Xiaobo Chen
Hui Zhou
Zhiyong Liu
Guangwen Zhou
Ning Zhang
Congrui Jin","","https://arxiv.org/pdf/1711.10386v6","Yes"
"Self-healing unitarity is an optical illusion","https://arxiv.org/abs/2307.04127v2","2023","Preprint","","Archit Vidyarthi","10.1103/PhysRevD.109.016020","https://arxiv.org/pdf/2307.04127v2","Yes"
"Collusion resistant self-healing key distribution in mobile wireless networks","https://arxiv.org/abs/1206.6285v1","2012","Preprint","","Ratna Dutta
Sugata Sanyal","","https://arxiv.org/pdf/1206.6285v1","Yes"
"Self-Healing First-Order Distributed Optimization","https://arxiv.org/abs/2104.01959v2","2021","Preprint","","Israel L. Donato Ridgley
Randy A. Freeman
Kevin M. Lynch","10.1109/CDC45484.2021.9683487","https://arxiv.org/pdf/2104.01959v2","Yes"
"Percolation Modeling of Conductance of Self-Healing Composites","https://arxiv.org/abs/0704.0935v2","2007","Preprint","","Alexander Dementsov
Vladimir Privman","10.1016/j.physa.2007.07.025","https://arxiv.org/pdf/0704.0935v2","Yes"
"A self-healing tactile sensor using an optical waveguide","https://arxiv.org/abs/2411.05159v1","2024","Preprint","","Seiichi Yamamoto
Hiroki Ishizuka
Sei Ikeda
Osamu Oshiro","","https://arxiv.org/pdf/2411.05159v1","Yes"
"Angular-spectrum-based analysis on the self-healing effect of Laguerre-Gaussian beams after an obstacle","https://arxiv.org/abs/1906.08474v1","2019","Preprint","","Jian-Dong Zhang
Zi-Jing Zhang
Jun-Yan Hu
Long-Zhu Cen
Yi-Fei Sun
Chen-Fei Jin
Yuan Zhao","","https://arxiv.org/pdf/1906.08474v1","Yes"
"Nonadiabatic Self-Healing of Trotter Errors in Digitized Counterdiabatic Dynamics","https://arxiv.org/abs/2512.22636v1","2025","Preprint","","Mara Vizzuso
Gianluca Passarelli
Giovanni Cantele
Procolo Lucignano
Xi Chen
Koushik Paul","","https://arxiv.org/pdf/2512.22636v1","Yes"
"Self-Healing by Means of Runtime Execution Profiling","https://arxiv.org/abs/1203.5748v1","2012","Preprint","","Mohammad Muztaba Fuad
Debzani Deb
Jinsuk Baek","10.1109/ICCITechn.2011.6164784","https://arxiv.org/pdf/1203.5748v1","Yes"
"Inducing mechanical self-healing in glassy polymer melts","https://arxiv.org/abs/2404.11787v1","2024","Preprint","","José Ruiz-Franco
Andrea Giuntoli","","https://arxiv.org/pdf/2404.11787v1","Yes"
"KubeAdaptor: A Docking Framework for Workflow Containerization on Kubernetes","https://arxiv.org/abs/2207.01222v1","2022","Preprint","","Chenggang Shan
Guan Wang
Yuanqing Xia
Yufeng Zhan
Jinhui Zhang","","https://arxiv.org/pdf/2207.01222v1","Yes"
"Insights from the Usage of the Ansible Lightspeed Code Completion Service","https://arxiv.org/abs/2402.17442v4","2024","Preprint","","Priyam Sahoo
Saurabh Pujar
Ganesh Nalawade
Richard Gebhardt
Louis Mandel
Luca Buratti","","https://arxiv.org/pdf/2402.17442v4","Yes"
"Three-dimensional evolution of erupted flux ropes from the Sun (2-20 Rs) to 1 AU","https://arxiv.org/abs/1211.2108v2","2012","Preprint","","A. Isavnin
A. Vourlidas
E. K. J. Kilpua","10.1007/s11207-012-0214-3","https://arxiv.org/pdf/1211.2108v2","Yes"
"Security Smells in Ansible and Chef Scripts: A Replication Study","https://arxiv.org/abs/1907.07159v2","2019","Preprint","","Akond Rahman
Md. Rayhanur Rahman
Chris Parnin
Laurie Williams","","https://arxiv.org/pdf/1907.07159v2","Yes"
"Performance Evaluation of Intent-Based Networking Scenarios: A GitOps and Nephio Approach","https://arxiv.org/abs/2509.13901v1","2025","Preprint","","Saptarshi Ghosh
Ioannis Mavromatis
Konstantinos Antonakoglou
Konstantinos Katsaros","","https://arxiv.org/pdf/2509.13901v1","Yes"
"Accelerating Control Systems with GitOps: A Path to Automation and Reliability","https://arxiv.org/abs/2511.05663v1","2025","Preprint","","M. Gonzalez
M. Acosta","","https://arxiv.org/pdf/2511.05663v1","Yes"
"Dozer: Migrating Shell Commands to Ansible Modules via Execution Profiling and Synthesis","https://arxiv.org/abs/2203.12065v1","2022","Preprint","","Eric Horton
Chris Parnin","","https://arxiv.org/pdf/2203.12065v1","Yes"
"The Ultimate Configuration Management Tool? Lessons from a Mixed Methods Study of Ansible's Challenges","https://arxiv.org/abs/2504.08678v3","2025","Preprint","","Carolina Carreira
Nuno Saavedra
Alexandra Mendes
João F. Ferreira","","https://arxiv.org/pdf/2504.08678v3","Yes"
"Noise-Resistant Quantum Teleportation, Ansibles, and the No-Projector Theorem","https://arxiv.org/abs/1605.09233v1","2016","Preprint","","Samuel R. Hedemann","","https://arxiv.org/pdf/1605.09233v1","Yes"
"Kubernetes in Action: Exploring the Performance of Kubernetes Distributions in the Cloud","https://arxiv.org/abs/2403.01429v1","2024","Preprint","","Hossein Aqasizade
Ehsan Ataie
Mostafa Bastam","","https://arxiv.org/pdf/2403.01429v1","Yes"
"Configuration Defects in Kubernetes","https://arxiv.org/abs/2512.05062v2","2025","Preprint","","Yue Zhang
Uchswas Paul
Marcelo d'Amorim
Akond Rahman","","https://arxiv.org/pdf/2512.05062v2","Yes"
"Kubernetes Deployment Options for On-Prem Clusters","https://arxiv.org/abs/2407.01620v1","2024","Preprint","","Lincoln Bryant
Robert W. Gardner
Fengping Hu
David Jordan
Ryan P. Taylor","","https://arxiv.org/pdf/2407.01620v1","Yes"
"Kubernetes as an Availability Manager for Microservice Applications","https://arxiv.org/abs/1901.04946v1","2019","Preprint","","Leila Abdollahi Vayghan
Mohamed Aymen Saied
Maria Toeroe
Ferhat Khendek","","https://arxiv.org/pdf/1901.04946v1","Yes"
"P4Kube: In-Network Load Balancer for Kubernetes","https://arxiv.org/abs/2505.05996v1","2025","Preprint","","Garegin Grigoryan
Kevin Penkowski
Minseok Kwon","10.1109/CCNC54725.2025.10976037","https://arxiv.org/pdf/2505.05996v1","Yes"
"Characterising resource management performance in Kubernetes","https://arxiv.org/abs/2401.17125v1","2024","Preprint","","Víctor Medel
Rafael Tolosana-Calasanz
José Ángel Bañares
Unai Arronategui
Omer F. Rana","10.1016/j.compeleceng.2018.03.041","https://arxiv.org/pdf/2401.17125v1","Yes"
"Comparison of high-energy galactic and atmospheric tau neutrino flux","https://arxiv.org/abs/hep-ph/0112222v2","2001","Preprint","","H. Athar
Kingman Cheung
Guey-Lin Lin
Jie-Jun Tseng","10.1016/S0927-6505(02)00183-4","https://arxiv.org/pdf/hep-ph/0112222v2","Yes"
"Benefits, Challenges, and Research Topics: A Multi-vocal Literature Review of Kubernetes","https://arxiv.org/abs/2211.07032v1","2022","Preprint","","Shazibul Islam Shamim
Jonathan Alexander Gibson
Patrick Morrison
Akond Rahman","","https://arxiv.org/pdf/2211.07032v1","Yes"
"Migration of CMSWEB Cluster at CERN to Kubernetes","https://arxiv.org/abs/2102.12751v1","2021","Preprint","","Muhammad Imran
Valentin Kuznetsov
Lina Marcella
Katarzyna Maria Dziedziniewicz-Wojcik
Andreas Pfeiffer
Panos Paparrigopoulos","10.22323/1.390.0911","https://arxiv.org/pdf/2102.12751v1","Yes"
"A study of the link between cosmic rays and clouds with a cloud chamber at the CERN PS","https://arxiv.org/abs/physics/0104048v1","2001","Preprint","","The Cloud Collaboration","","https://arxiv.org/pdf/physics/0104048v1","Yes"
"CLOUD: an atmospheric research facility at CERN","https://arxiv.org/abs/physics/0104076v1","2001","Preprint","","The Cloud Collaboration","","https://arxiv.org/pdf/physics/0104076v1","Yes"
"Addendum to the CLOUD proposal","https://arxiv.org/abs/physics/0104068v1","2001","Preprint","","The Cloud Collaboration","","https://arxiv.org/pdf/physics/0104068v1","Yes"
"Supporting Multi-Cloud in Serverless Computing","https://arxiv.org/abs/2209.09367v4","2022","Preprint","","Haidong Zhao
Zakaria Benomar
Tobias Pfandzelter
Nikolaos Georgantas","10.1109/UCC56403.2022.00051","https://arxiv.org/pdf/2209.09367v4","Yes"
"Multi-agent Reinforcement Learning-based In-place Scaling Engine for Edge-cloud Systems","https://arxiv.org/abs/2507.07671v1","2025","Preprint","","Jovan Prodanov
Blaž Bertalanič
Carolina Fortuna
Shih-Kai Chou
Matjaž Branko Jurič
Ramon Sanchez-Iborra
Jernej Hribar","10.1109/CLOUD67622.2025.00014","https://arxiv.org/pdf/2507.07671v1","Yes"
"Modeling Operational Fairness of Hybrid Cloud Brokerage","https://arxiv.org/abs/2205.05078v1","2022","Preprint","","Sreekrishnan Venkateswaran
Santonu Sarkar","10.1109/CCGRID.2018.00083","https://arxiv.org/pdf/2205.05078v1","Yes"
"An Open API Architecture to Discover the Trustworthy Explanation of Cloud AI Services","https://arxiv.org/abs/2411.03376v1","2024","Preprint","","Zerui Wang
Yan Liu
Jun Huang","10.1109/TCC.2024.3398609","https://arxiv.org/pdf/2411.03376v1","Yes"
"A U-band survey of brown dwarfs in the Taurus Molecular Cloud with the XMM-Newton Optical/UV Monitor","https://arxiv.org/abs/astro-ph/0609027v1","2006","Preprint","","Nicolas Grosso
Marc Audard
Jérôme Bouvier
Kevin R. Briggs
Manuel Güdel
the The XMM-Newton Extended Surveyof the Taurus Molecular Cloud
Collaboration","10.1051/0004-6361:20065425","https://arxiv.org/pdf/astro-ph/0609027v1","Yes"
"Search-based Methods for Multi-Cloud Configuration","https://arxiv.org/abs/2204.09437v1","2022","Preprint","","Małgorzata Łazuka
Thomas Parnell
Andreea Anghel
Haralampos Pozidis","","https://arxiv.org/pdf/2204.09437v1","Yes"
"Identity and Access Management Framework for Multi-tenant Resources in Hybrid Cloud Computing","https://arxiv.org/abs/2203.11463v1","2022","Preprint","","Saurabh Deochake
Vrushali Channapattan","","https://arxiv.org/pdf/2203.11463v1","Yes"
"Joint Orchestration of Cloud-Based Microservices and Virtual Network Functions","https://arxiv.org/abs/1801.09984v1","2018","Preprint","","Hadi Razzaghi Kouchaksaraei
Holger Karl","","https://arxiv.org/pdf/1801.09984v1","Yes"
"Orchestration in the Cloud-to-Things Compute Continuum: Taxonomy, Survey and Future Directions","https://arxiv.org/abs/2309.02172v1","2023","Preprint","","Amjad Ullah
Tamas Kiss
József Kovács
Francesco Tusa
James Deslauriers
Huseyin Dagdeviren
Resmi Arjun
Hamed Hamzeh","","https://arxiv.org/pdf/2309.02172v1","Yes"
"The Effects of Relative Importance of User Constraints in Cloud of Things Resource Discovery: A Case Study","https://arxiv.org/abs/1611.05170v1","2016","Preprint","","Luiz H. Nunes
Julio C. Estrella
Alexandre C. B. Delbem
Charith Perera
Stephan Reiff-Marganiec","","https://arxiv.org/pdf/1611.05170v1","Yes"
"Performance Analysis of Zero-Trust multi-cloud","https://arxiv.org/abs/2105.02334v1","2021","Preprint","","Simone Rodigari
Donna O'Shea
Pat McCarthy
Martin McCarry
Sean McSweeney","","https://arxiv.org/pdf/2105.02334v1","Yes"
"Data Privacy in Multi-Cloud: An Enhanced Data Fragmentation Framework","https://arxiv.org/abs/2211.11577v1","2022","Preprint","","Randolph Loh
Vrizlynn L. L. Thing","10.1109/PST52912.2021.9647746","https://arxiv.org/pdf/2211.11577v1","Yes"
"Framework for cloud computing adoption: A road map for Smes to cloud migration","https://arxiv.org/abs/1601.01608v1","2016","Preprint","","Nabeel Khan
Adil Al-Yasiri","10.5121/ijccsa.2015.5601","https://arxiv.org/pdf/1601.01608v1","Yes"
"Handling Confidential Data on the Untrusted Cloud: An Agent-based Approach","https://arxiv.org/abs/1012.0759v1","2010","Preprint","","Ernesto Damiani
Francesco Pagano","","https://arxiv.org/pdf/1012.0759v1","Yes"
"Cross-Layer Multi-Cloud Real-Time Application QoS Monitoring and Benchmarking As-a-Service Framework","https://arxiv.org/abs/1502.00206v2","2015","Preprint","","Khalid Alhamazani
Rajiv Ranjan
Prem Prakash Jayaraman
Karan Mitra
Chang Liu
Fethi Rabhi
Dimitrios Georgakopoulos
Lizhe Wang","10.1109/TCC.2015.2441715","https://arxiv.org/pdf/1502.00206v2","Yes"
"Online QoS Modeling in the Cloud: A Hybrid and Adaptive Multi-Learners Approach","https://arxiv.org/abs/1504.03961v1","2015","Preprint","","Tao Chen
Rami Bahsoon
Xin Yao","10.1109/UCC.2014.42","https://arxiv.org/pdf/1504.03961v1","Yes"
"A Comparative Study of Load Balancing Algorithms in Cloud Computing Environment","https://arxiv.org/abs/1403.6918v1","2014","Preprint","","Mayanka Katyal
Atul Mishra","","https://arxiv.org/pdf/1403.6918v1","Yes"
"Artificial Intelligence in Governance, Risk and Compliance: Results of a study on potentials for the application of artificial intelligence (AI) in governance, risk and compliance (GRC)","https://arxiv.org/abs/2212.03601v2","2022","Preprint","","Eva Ponick
Gabriele Wieczorek","","https://arxiv.org/pdf/2212.03601v2","Yes"
"Advanced Drone Swarm Security by Using Blockchain Governance Game","https://arxiv.org/abs/2112.15454v4","2021","Preprint","","Song-Kyoo Kim","10.3390/math10183338","https://arxiv.org/pdf/2112.15454v4","Yes"
"DLT Compliance Reporting","https://arxiv.org/abs/2206.03270v1","2022","Preprint","","Henrik Axelsen
Johannes Rude Jensen
Omri Ross","","https://arxiv.org/pdf/2206.03270v1","Yes"
"Tactics for Internal Compliance: A Literature Review","https://arxiv.org/abs/2008.03775v1","2020","Preprint","","Ralph Foorthuis","","https://arxiv.org/pdf/2008.03775v1","Yes"
